bare	accented	translations_en	translations_de	gender	partner	animate	indeclinable	sg_only	pl_only	sg_nom	sg_gen	sg_dat	sg_acc	sg_inst	sg_prep	pl_nom	pl_gen	pl_dat	pl_acc	pl_inst	pl_prep
атака	ата'ка	attack, assault	Attacke, Angriff	f		0	0	0	0	ата'ка	ата'ки	ата'ке	ата'ку	ата'кой, ата'кою	ата'ке	ата'ки	ата'к	ата'кам	ата'ки	ата'ками	ата'ках
решётка	решётка	grating, lattice, fender, fireguard, railing, grille, trellis, bars	Gitter			0	0	0	0	решётка	решётки	решётке	решётку	решёткой, решёткою	решётке	решётки	решёток	решёткам	решётки	решётками	решётках
переулок	переу'лок	side-street, alley, lane	Gasse, Quergasse	m		0	0	0	0	переу'лок	переу'лка	переу'лку	переу'лок	переу'лком	переу'лке	переу'лки	переу'лков	переу'лкам	переу'лки	переу'лками	переу'лках
препарат	препара'т	preparation	Präparat	m		0	0	0	0	препара'т	препара'та	препара'ту	препара'т	препара'том	препара'те	препара'ты	препара'тов	препара'там	препара'ты	препара'тами	препара'тах
совещание	совеща'ние	conference, meeting, deliberation, consultation, debate	Besprechung, Konferenz; Beratung	n		0	0	0	0	совеща'ние	совеща'ния	совеща'нию	совеща'ние	совеща'нием	совеща'нии	совеща'ния	совеща'ний	совеща'ниям	совеща'ния	совеща'ниями	совеща'ниях
нужда	нужда'	need, want, indigence	Bedarf, Bedürfnis, Bedürftigkeit, Not, Elend	f		0	0	0	0	нужда'	нужды'	нужде'	нужду'	нуждо'й, нуждо'ю	нужде'	ну'жды	ну'жд	ну'ждам	ну'жды	ну'ждами	ну'ждах
тыл	тыл	back, rear, home front, rear services, rear organizations	Hinterland, Rücken	m		0	0	0	0	ты'л	ты'ла	ты'лу	ты'л	ты'лом	ты'ле	тылы'	тыло'в	тыла'м	тылы'	тыла'ми	тыла'х
наряд	наря'д	outfit, costume, attire, apparel, finery; order, warrant, detail, duty detail, duty	Kleidung, Tracht	m		0	0	0	0	наря'д	наря'да	наря'ду	наря'д	наря'дом	наря'де	наря'ды	наря'дов	наря'дам	наря'ды	наря'дами	наря'дах
советник	сове'тник	adviser, counsellor, councillor	Berater, Rat, Ratgeber	m	советница	1	0	0	0	сове'тник	сове'тника	сове'тнику	сове'тника	сове'тником	сове'тнике	сове'тники	сове'тников	сове'тникам	сове'тников	сове'тниками	сове'тниках
гимнастёрка	гимнастёрка	female gymnast	Bluse mit Stehkragen	f		0	0	0	0	гимнастёрка	гимнастёрки	гимнастёрке	гимнастёрку	гимнастёркой, гимнастёркою	гимнастёрке	гимнастёрки	гимнастёрок	гимнастёркам	гимнастёрки	гимнастёрками	гимнастёрках
жалость	жа'лость	compassion, pity	Mitleid	f		0	0	1	0	жа'лость	жа'лости	жа'лости	жа'лость	жа'лостью	жа'лости
чашка	ча'шка	cup, cupful, scale, pan	Tasse	f		0	0	0	0	ча'шка	ча'шки	ча'шке	ча'шку	ча'шкой, ча'шкою	ча'шке	ча'шки	ча'шек	ча'шкам	ча'шки	ча'шками	ча'шках
люк	люк	hatchway, hatch, trap	Luke, Schiebedach, Luk	m		0	0	0	0	лю'к	лю'ка	лю'ку	лю'к	лю'ком	лю'ке	лю'ки	лю'ков	лю'кам	лю'ки	лю'ками	лю'ках
носок	носо'к	sock	Socke; die Spitze (von Fuß, Socke etc.); Näschen	m		0	0	0	0	носо'к	носка'	носку'	носо'к	носко'м	носке'	носки'	носко'в	носка'м	носки'	носка'ми	носка'х
спорт	спорт	sport	Sport, Sportart	m		0	0	0	0	спо'рт	спо'рта	спо'рту	спо'рт	спо'ртом	спо'рте	спо'рты	спо'ртов	спо'ртам	спо'рты	спо'ртами	спо'ртах
окружение	окруже'ние	environment	Umwelt, Umgebung, Milieu, Einkesselung	n		0	0	0	0	окруже'ние	окруже'ния	окруже'нию	окруже'ние	окруже'нием	окруже'нии	окруже'ния	окруже'ний	окруже'ниям	окруже'ния	окруже'ниями	окруже'ниях
арест	аре'ст	arrest, sequestration, seizure, attachment	Arrest Verhaftung	m		0	0	0	0	аре'ст	аре'ста	аре'сту	аре'ст	аре'стом	аре'сте	аре'сты	аре'стов	аре'стам	аре'сты	аре'стами	аре'стах
флот	флот	fleet; Navy	Flotte, Marine	m		0	0	0	0	флот	фло'та	фло'ту	флот	фло'том	фло'те	фло'ты, флоты'	фло'тов, флото'в	фло'там, флота'м	фло'ты, флоты'	фло'тами, флота'ми	фло'тах, о флота'х
налог	нало'г	tax	Steuer	m		0	0	0	0	нало'г	нало'га	нало'гу	нало'г	нало'гом	нало'ге	нало'ги	нало'гов	нало'гам	нало'ги	нало'гами	нало'гах
демократия	демокра'тия	democracy	Demokratie	f		0	0	0	0	демокра'тия	демокра'тии	демокра'тии	демокра'тию	демокра'тией, демокра'тиею	демокра'тии	демокра'тии	демокра'тий	демокра'тиям	демокра'тии	демокра'тиями	демокра'тиях
олень	оле'нь	deer, reindeer	Hirsch; Geweihträgerunterarten (Elch, Reh, Rentier); Schwachkopf, Narr, Tölpel	m		1	0	0	0	оле'нь	оле'ня	оле'ню	оле'ня	оле'нем	оле'не	оле'ни	оле'ней	оле'ням	оле'ней	оле'нями	оле'нях
турист	тури'ст	tourist, hiker	Tourist, Wanderer	m	туристка	1	0	0	0	тури'ст	тури'ста	тури'сту	тури'ста	тури'стом	тури'сте	тури'сты	тури'стов	тури'стам	тури'стов	тури'стами	тури'стах
эффект	эффе'кт	effect, effects	Effekt	m		0	0	0	0	эффе'кт	эффе'кта	эффе'кту	эффе'кт	эффе'ктом	эффе'кте	эффе'кты	эффе'ктов	эффе'ктам	эффе'кты	эффе'ктами	эффе'ктах
конференция	конфере'нция	conference	Konferenz	f		0	0	0	0	конфере'нция	конфере'нции	конфере'нции	конфере'нцию	конфере'нцией, конфере'нциею	конфере'нции	конфере'нции	конфере'нций	конфере'нциям	конфере'нции	конфере'нциями	конфере'нциях
разрыв	разры'в	break, gap, rupture of blood-vessel, burst, explosion	Riß, Bruch, Abbruch, Explosion	m		0	0	0	0	разры'в	разры'ва	разры'ву	разры'в	разры'вом	разры'ве	разры'вы	разры'вов	разры'вам	разры'вы	разры'вами	разры'вах
сосна	сосна'	pine	Kiefer	f		0	0	0	0	сосна'	сосны'	сосне'	сосну'	сосно'й, сосно'ю	сосне'	со'сны	со'сен	со'снам	со'сны	со'снами	со'снах
барин	ба'рин	barin, gentleman, landowner, lord of the manor, master, sir, lord, grand gentleman	Herr, Gutsherr, Adliger	m	барыня	1	0	0	0	ба'рин	ба'рина	ба'рину	ба'рина	ба'рином	ба'рине	ба'ре	ба'р	ба'рам	ба'р	ба'рами	ба'рах
нападение	нападе'ние	attack, assault, aggression, forwards, the forward line	Angriff, Sturm; Überfall	n		0	0	0	0	нападе'ние	нападе'ния	нападе'нию	нападе'ние	нападе'нием	нападе'нии	нападе'ния	нападе'ний	нападе'ниям	нападе'ния	нападе'ниями	нападе'ниях
суббота	суббо'та	Saturday	Samstag, Sonnabend	f		0	0	0	0	суббо'та	суббо'ты	суббо'те	суббо'ту	суббо'той, суббо'тою	суббо'те	суббо'ты	суббо'т	суббо'там	суббо'ты	суббо'тами	суббо'тах
Украина	Украи'на	Ukraine	die Ukraine	f		0	0	1	0	Украи'на	Украи'ны	Украи'не	Украи'ну	Украи'ной, Украи'ною	Украи'не
мыло	мы'ло	soap, foam, lather	Seife	n		0	0	0	0	мы'ло	мы'ла	мы'лу	мы'ло	мы'лом	мы'ле	мы'ла	мы'л	мы'лам	мы'ла	мы'лами	мы'лах
протокол	протоко'л	report, record of proceedings, record of evidence, proceedings, minutes, transactions, protocol	Protokoll	m		0	0	0	0	протоко'л	протоко'ла	протоко'лу	протоко'л	протоко'лом	протоко'ле	протоко'лы	протоко'лов	протоко'лам	протоко'лы	протоко'лами	протоко'лах
лавка	ла'вка	bench, shop, store; Long seat without a back	Bank; Laden, Verkaufsbude, Shop	f		0	0	0	0	ла'вка	ла'вки	ла'вке	ла'вку	ла'вкой, ла'вкою	ла'вке	ла'вки	ла'вок	ла'вкам	ла'вки	ла'вками	ла'вках
примета	приме'та	sign, token, mark, omen	Merkmal, Kennzeichen, Vorzeichen	f		0	0	0	0	приме'та	приме'ты	приме'те	приме'ту	приме'той, приме'тою	приме'те	приме'ты	приме'т	приме'там	приме'ты	приме'тами	приме'тах
усталость	уста'лость	tiredness, weariness, fatigue	Müdigkeit	f		0	0	0	0	уста'лость	уста'лости	уста'лости	уста'лость	уста'лостью	уста'лости	уста'лости	уста'лостей	уста'лостям	уста'лости	уста'лостями	уста'лостях
величина	величина'	size, quantity, magnitude, value, great figure	Größe (Umfang, Dimension von etw.); Wert	f		0	0	0	0	величина'	величины'	величине'	величину'	величино'й, величино'ю	величине'	величи'ны	величи'н	величи'нам	величи'ны	величи'нами	величи'нах
съезд	съезд	congress, conference, convention, arrival, descent	Kongreß, Ankunft, Eintreffen, Zusammenkunft, Abfahrt	m		0	0	0	0	съе'зд	съе'зда	съе'зду	съе'зд	съе'здом	съе'зде	съе'зды	съе'здов	съе'здам	съе'зды	съе'здами	съе'здах
эксперимент	экспериме'нт	experiment	Experiment, Versuch	m		0	0	0	0	экспериме'нт	экспериме'нта	экспериме'нту	экспериме'нт	экспериме'нтом	экспериме'нте	экспериме'нты	экспериме'нтов	экспериме'нтам	экспериме'нты	экспериме'нтами	экспериме'нтах
боцман	бо'цман	boatswain	Bootsmann	m		1	0	0	0	бо'цман	бо'цмана	бо'цману	бо'цмана	бо'цманом	бо'цмане	бо'цманы	бо'цманов	бо'цманам	бо'цманов	бо'цманами	бо'цманах
свеча	свеча'	candle, light, taper, candle-power, suppository	Kerze; Candela (Lichtintensität); Zäpfchen	f		0	0	0	0	свеча'	свечи'	свече'	свечу'	свечо'й, свечо'ю	свече'	све'чи	свече'й	свеча'м	све'чи	свеча'ми	свеча'х
асфальт	асфа'льт	asphalt	Asphalt	m		0	0	0	0	асфа'льт	асфа'льта	асфа'льту	асфа'льт	асфа'льтом	асфа'льте	асфа'льты	асфа'льтов	асфа'льтам	асфа'льты	асфа'льтами	асфа'льтах
масштаб	масшта'б	scale	Maßstab, Ausmaß, Maß	m		0	0	0	0	масшта'б	масшта'ба	масшта'бу	масшта'б	масшта'бом	масшта'бе	масшта'бы	масшта'бов	масшта'бам	масшта'бы	масшта'бами	масшта'бах
фактор	фа'ктор	factor	Faktor
обращение	обраще'ние	address, form of address, appeal, conversion, treatment, handling, use, circulation, manner	Anrede, Ansprache, Aufruf, Appell, Ersuchen; Bekehrung, Umkehrung; Handhabung, Behandlung, Umgang; Umlauf (Zirkulation)	n		0	0	0	0	обраще'ние	обраще'ния	обраще'нию	обраще'ние	обраще'нием	обраще'нии	обраще'ния	обраще'ний	обраще'ниям	обраще'ния	обраще'ниями	обраще'ниях
почта	по'чта	post, mail, post-office	Post, Postamt	f		0	0	0	0	по'чта	по'чты	по'чте	по'чту	по'чтой, по'чтою	по'чте	по'чты	по'чт	по'чтам	по'чты	по'чтами	по'чтах
монах	мона'х	monk	Mönch	m	монахиня	1	0	0	0	мона'х	мона'ха	мона'ху	мона'ха	мона'хом	мона'хе	мона'хи	мона'хов	мона'хам	мона'хов	мона'хами	мона'хах
рюмка	рю'мка	shot glass	Glas (für meist hochprozentige alkoholische Getränke), Schnapsglas, Wodkaglas, Cognacglas, Likörglas, Shot, Stamperl; die Menge an Flüssigkeit (normalerweise Alkohol) die in ein solches Gefäß passt (30 bis 75 Milliliter)	f		0	0	0	0	рю'мка	рю'мки	рю'мке	рю'мку	рю'мкой, рю'мкою	рю'мке	рю'мки	рю'мок	рю'мкам	рю'мки	рю'мками	рю'мках
приключение	приключе'ние	adventure	Abenteuer	n		0	0	0	0	приключе'ние	приключе'ния	приключе'нию	приключе'ние	приключе'нием	приключе'нии	приключе'ния	приключе'ний	приключе'ниям	приключе'ния	приключе'ниями	приключе'ниях
старость	ста'рость	old age	(hohes) Alter, Greisenalter	f		0	0	1	0	ста'рость	ста'рости	ста'рости	ста'рость	ста'ростью	ста'рости
зад	зад	back part, back, seat, bottom, hind quarters, rump, croup	hinterer Teil, Hinterseite, Gesäß, Hintern	m		0	0	0	0	за'д	зада'	заду'	за'д	задо'м	заде'	зады'	задо'в	зада'м	зады'	зада'ми	зада'х
точность	то'чность	exactness, precision, accuracy, punctuality	Genauigkeit, Exaktheit, Präzision, Pünktlichkeit	f		0	0	0	0	то'чность	то'чности	то'чности	то'чность	то'чностью	то'чности	то'чности	то'чностей	то'чностям	то'чности	то'чностями	то'чностях
четверть	че'тверть	a quarter, a fourth, crotchet, term	Viertel	f		0	0	0	0	че'тверть	че'тверти	че'тверти	че'тверть	че'твертью	че'тверти	че'тверти	четверте'й	четвертя'м	че'тверти	четвертя'ми	четвертя'х
перспектива	перспекти'ва	perspective, vista, prospect, outlook	Perspektive, Aussicht	f		0	0	0	0	перспекти'ва	перспекти'вы	перспекти'ве	перспекти'ву	перспекти'вой, перспекти'вою	перспекти'ве	перспекти'вы	перспекти'в	перспекти'вам	перспекти'вы	перспекти'вами	перспекти'вах
охранник	охра'нник	guard, okhrannik	Bewacher / Wachmann, Wächter; Schützer / Beschützer, Bodyguard	m		1	0	0	0	охра'нник	охра'нника	охра'ннику	охра'нника	охра'нником	охра'ннике	охра'нники	охра'нников	охра'нникам	охра'нников	охра'нниками	охра'нниках
справка	спра'вка	information, reference; certificate	Auskunft, Erkundigung; Bescheinigung, Ausweis	f		0	0	0	0	спра'вка	спра'вки	спра'вке	спра'вку	спра'вкой, спра'вкою	спра'вке	спра'вки	спра'вок	спра'вкам	спра'вки	спра'вками	спра'вках
гнев	гнев	anger, ire, wrath	Zorn; Wut	m		0	0	0	0	гне'в	гне'ва	гне'ву	гне'в	гне'вом	гне'ве	гне'вы	гне'вов	гне'вам	гне'вы	гне'вами	гне'вах
почва	по'чва	soil, ground	(Erd)boden, Grund	f		0	0	0	0	по'чва	по'чвы	по'чве	по'чву	по'чвой, по'чвою	по'чве	по'чвы	по'чв	по'чвам	по'чвы	по'чвами	по'чвах
плюс	плюс	plus, advantage	plus, Plus, Pluszeichen; Vorteil			0	0	0	0	плю'с	плю'са	плю'су	плю'с	плю'сом	плю'се	плю'сы	плю'сов	плю'сам	плю'сы	плю'сами	плю'сах
рог	рог	horn, antler, bugle, hunting-horn	Horn			0	0	0	0	ро'г	ро'га	ро'гу	ро'г	ро'гом	ро'ге	рога'	рого'в	рога'м	рога'	рога'ми	рога'х
колдун	колду'н	sorcerer, magician, wizard	Zauberer	m	колдунья	1	0	0	0	колду'н	колдуна'	колдуну'	колдуна'	колдуно'м	колдуне'	колдуны'	колдуно'в	колдуна'м	колдуно'в	колдуна'ми	колдуна'х
полгода	полго'да	half a year, six months	ein halbes Jahr	m		0	0	0	0	полгода	полугода	полугоду	полгода	полугодом	полугоде	полугоды	полугодов	полугодам	полугоды	полугодами	полугодах
сочинение	сочине'ние	composing, making, work, writing, composition, essay, co-ordination	Verfassen, Abfassen, Dichten; Aufsatz, Werk	n		0	0	0	0	сочине'ние	сочине'ния	сочине'нию	сочине'ние	сочине'нием	сочине'нии	сочине'ния	сочине'ний	сочине'ниям	сочине'ния	сочине'ниями	сочине'ниях
сопротивление	сопротивле'ние	resistance, opposition	Widerstand	n		0	0	0	0	сопротивле'ние	сопротивле'ния	сопротивле'нию	сопротивле'ние	сопротивле'нием	сопротивле'нии	сопротивле'ния	сопротивле'ний	сопротивле'ниям	сопротивле'ния	сопротивле'ниями	сопротивле'ниях
реформа	рефо'рма	reform	Reform	f		0	0	0	0	рефо'рма	рефо'рмы	рефо'рме	рефо'рму	рефо'рмой, рефо'рмою	рефо'рме	рефо'рмы	рефо'рм	рефо'рмам	рефо'рмы	рефо'рмами	рефо'рмах
долина	доли'на	valley, vale, dale	Tal	f		0	0	0	0	доли'на	доли'ны	доли'не	доли'ну	доли'ной, доли'ною	доли'не	доли'ны	доли'н	доли'нам	доли'ны	доли'нами	доли'нах
издание	изда'ние	publication, promulgation, edition	Herausgabe, Veröffentlichung, Erlaß, Ausgabe, Auflage	n		0	0	0	0	изда'ние	изда'ния	изда'нию	изда'ние	изда'нием	изда'нии	изда'ния	изда'ний	изда'ниям	изда'ния	изда'ниями	изда'ниях
доход	дохо'д	income, profit, return, receipts	Gewinn / Ertrag / Erlös; Einkommen / Einkünfte, Einnahme	m		0	0	0	0	дохо'д	дохо'да	дохо'ду	дохо'д	дохо'дом	дохо'де	дохо'ды	дохо'дов	дохо'дам	дохо'ды	дохо'дами	дохо'дах
окошко	око'шко	window	kleines Fenster, Schalter	n		0	0	0	0	око'шко	око'шка	око'шку	око'шко	око'шком	око'шке	око'шки	око'шек	око'шкам	око'шки	око'шками	око'шках
расход	расхо'д	expense, expenditure, expenses, outlay; out come	Ausgaben; Verbrauch	m		0	0	0	0	расхо'д	расхо'да	расхо'ду	расхо'д	расхо'дом	расхо'де	расхо'ды	расхо'дов	расхо'дам	расхо'ды	расхо'дами	расхо'дах
жир	жир	fat, grease	Fett	m		0	0	0	0	жир	жи'ра	жи'ру	жир	жи'ром	жи'ре	жиры'	жиро'в	жира'м	жиры'	жира'ми	жира'х
змея	змея'	snake, serpent	Schlange	f		1	0	0	0	змея'	змеи'	змее'	змею'	змеёй, змеёю	змее'	зме'и	зме'й	зме'ям	зме'й	зме'ями	зме'ях
рай	рай	paradise, Eden, Elysium	Paradies	m		0	0	0	0	ра'й	ра'я	ра'ю	ра'й	ра'ем	ра'е, раю'	ра'и	ра'ев	ра'ям	ра'и	ра'ями	ра'ях
проспект	проспе'кт	avenue, prospectus, booklet, folder	breite langezogene Straße, Allee, Boulevard, Avenue, Promenade; Prospekt, Werbeschrift, Verlagsprospekt	m		0	0	0	0	проспе'кт	проспе'кта	проспе'кту	проспе'кт	проспе'ктом	проспе'кте	проспе'кты	проспе'ктов	проспе'ктам	проспе'кты	проспе'ктами	проспе'ктах
схема	схе'ма	scheme, system; pattern; framework; diagram, chart; design; circuit	Schema	f		0	0	0	0	схе'ма	схе'мы	схе'ме	схе'му	схе'мой, схе'мою	схе'ме	схе'мы	схе'м	схе'мам	схе'мы	схе'мами	схе'мах
несчастье	несча'стье	misfortune, accident	Unglück	n		0	0	0	0	несча'стье	несча'стья	несча'стью	несча'стье	несча'стьем	несча'стье	несча'стья	несча'стий	несча'стьям	несча'стья	несча'стьями	несча'стьях
минимум	ми'нимум	minimum	Minimum	m		0	0	0	0	ми'нимум	ми'нимума	ми'нимуму	ми'нимум	ми'нимумом	ми'нимуме	ми'нимумы	ми'нимумов	ми'нимумам	ми'нимумы	ми'нимумами	ми'нимумах
Англия	А'нглия	England	England	f		0	0	1	0	А'нглия	А'нглии	А'нглии	А'нглию	А'нглией, А'нглиею	А'нглии
спасение	спасе'ние	rescue, escape, salvation, reprieve	Rettung	n		0	0	0	0	спасе'ние	спасе'ния	спасе'нию	спасе'ние	спасе'нием	спасе'нии	спасе'ния	спасе'ний	спасе'ниям	спасе'ния	спасе'ниями	спасе'ниях
подоконник	подоко'нник	window-sill	Fensterbrett	m		0	0	0	0	подоко'нник	подоко'нника	подоко'ннику	подоко'нник	подоко'нником	подоко'ннике	подоко'нники	подоко'нников	подоко'нникам	подоко'нники	подоко'нниками	подоко'нниках
подъём	подъём	lifting / rising / climb hoisting, salvaging, ascent, climb, slope, rise, raising, development, upsurge, enthusiasm, animation, instep, time for getting up, reveille	Aufstieg, Besteigung, Heben, Aufschwung, Elan, Enthusiasmus, Schwung, Begeisterung, Steigung, Spann	m		0	0	0	0	подъём	подъёма	подъёму	подъём	подъёмом	подъёме	подъёмы	подъёмов	подъёмам	подъёмы	подъёмами	подъёмах
авиация	авиа'ция	aviation, aircraft	Luftflotte, Luftfahrt, Flugwesen	f		0	0	0	0	авиа'ция	авиа'ции	авиа'ции	авиа'цию	авиа'цией, авиа'циею	авиа'ции	авиа'ции	авиа'ций	авиа'циям	авиа'ции	авиа'циями	авиа'циях
признание	призна'ние	acknowledgement/ recognition / confession / declaration	Anerkennung, Würdigung; Geständnis, Bekenntnis	n		0	0	0	0	призна'ние	призна'ния	призна'нию	призна'ние	призна'нием	призна'нии	призна'ния	призна'ний	призна'ниям	призна'ния	призна'ниями	призна'ниях
альбом	альбо'м	album	Album	m		0	0	0	0	альбо'м	альбо'ма	альбо'му	альбо'м	альбо'мом	альбо'ме	альбо'мы	альбо'мов	альбо'мам	альбо'мы	альбо'мами	альбо'мах
блюдо	блю'до	cuisine, food, dish, course	Speise, Platte, Gericht, Gang; Kuchenteller, Kuchenplatte	n		0	0	0	0	блю'до	блю'да	блю'ду	блю'до	блю'дом	блю'де	блю'да	блю'д	блю'дам	блю'да	блю'дами	блю'дах
мебель	ме'бель	furniture	Möbel, Einrichtung	f		0	0	1	0	ме'бель	ме'бели	ме'бели	ме'бель	ме'белью	ме'бели
апрель	апре'ль	April	April	m		0	0	1	0	апре'ль	апре'ля	апре'лю	апре'ль	апре'лем	апре'ле
кремль	кремль	citadel, the Kremlin	Kreml	m		0	0	0	0	кремль	кремля'	кремлю'	кремль	кремлём	кремле'	кремли'	кремле'й	кремля'м	кремли'	кремля'ми	кремля'х
старичок	старичо'к	little old man	lieber alter Mann	m	старушка	1	0	0	0	старичо'к	старичка'	старичку'	старичка'	старичко'м	старичке'	старички'	старичко'в	старичка'м	старичко'в	старичка'ми	старичка'х
спальня	спа'льня	bedroom, bedroom suite	Schlafzimmer, Schlafraum; Schlafzimmermöbel	f		0	0	0	0	спа'льня	спа'льни	спа'льне	спа'льню	спа'льней, спа'льнею	спа'льне	спа'льни	спа'лен	спа'льням	спа'льни	спа'льнями	спа'льнях
стремление	стремле'ние	aspiration, striving, yearning, urge	Streben, Bestreben	n		0	0	0	0	стремле'ние	стремле'ния	стремле'нию	стремле'ние	стремле'нием	стремле'нии	стремле'ния	стремле'ний	стремле'ниям	стремле'ния	стремле'ниями	стремле'ниях
облегчение	облегче'ние	facilitation, easing, relief, commutation	Erleichterung	n		0	0	0	0	облегче'ние	облегче'ния	облегче'нию	облегче'ние	облегче'нием	облегче'нии	облегче'ния	облегче'ний	облегче'ниям	облегче'ния	облегче'ниями	облегче'ниях
барак	бара'к	barrack, hut	Baracke	m		0	0	0	0	бара'к	бара'ка	бара'ку	бара'к	бара'ком	бара'ке	бара'ки	бара'ков	бара'кам	бара'ки	бара'ками	бара'ках
сок	сок	juice, sap	Saft	m		0	0	0	0	сок	со'ка, со'ку	со'ку	сок	со'ком	со'ке	со'ки	со'ков	со'кам	со'ки	со'ками	со'ках
подозрение	подозре'ние	suspicion	Verdacht	n		0	0	0	0	подозре'ние	подозре'ния	подозре'нию	подозре'ние	подозре'нием	подозре'нии	подозре'ния	подозре'ний	подозре'ниям	подозре'ния	подозре'ниями	подозре'ниях
деятель	де'ятель	public figure	Person, Persöhnlichkeit, -mann; Funktionär	m		1	0	0	0	де'ятель	де'ятеля	де'ятелю	де'ятеля	де'ятелем	де'ятеле	де'ятели	де'ятелей	де'ятелям	де'ятелей	де'ятелями	де'ятелях
ручей	руче'й	brook, stream	Bach	m		0	0	0	0	руче'й	ручья'	ручью'	руче'й	ручьём	ручье'	ручьи'	ручьёв	ручья'м	ручьи'	ручья'ми	ручья'х
общение	обще'ние	intercourse, communication, socialising	Verkehr, Umgang, Kontakt; Kommunikation, Gespräch	n		0	0	0	0	обще'ние	обще'ния	обще'нию	обще'ние	обще'нием	обще'нии	обще'ния	обще'ний	обще'ниям	обще'ния	обще'ниями	обще'ниях
колбаса	колбаса'	sausage	Wurst	f		0	0	0	0	колбаса'	колбасы'	колбасе'	колбасу'	колбасо'й, колбасо'ю	колбасе'	колба'сы	колба'с	колба'сам	колба'сы	колба'сами	колба'сах
любитель	люби'тель	amateur, dilettante, lover	Liebhaber, -freund, Fan, Amateur, Laie	m	любительница	1	0	0	0	люби'тель	люби'теля	люби'телю	люби'теля	люби'телем	люби'теле	любителя'	любителе'й	любителя'м	любителе'й	любителя'ми	любителя'х
соответствие	соотве'тствие	accordance, conformity, compliance, correspondence	Übereinstimmung, Entsprechung, Äquivalent	n		0	0	0	0	соотве'тствие	соотве'тствия	соотве'тствию	соотве'тствие	соотве'тствием	соотве'тствии	соотве'тствия	соотве'тствий	соотве'тствиям	соотве'тствия	соотве'тствиями	соотве'тствиях
показание	показа'ние	testimony, evidence, statement, deposition, affidavit, reading	Aussage; Anzeige, Indikation, Angabe	n		0	0	0	0	показа'ние	показа'ния	показа'нию	показа'ние	показа'нием	показа'нии	показа'ния	показа'ний	показа'ниям	показа'ния	показа'ниями	показа'ниях
легенда	леге'нда	legend	Legende, Sage	f		0	0	0	0	леге'нда	леге'нды	леге'нде	леге'нду	леге'ндой, леге'ндою	леге'нде	леге'нды	леге'нд	леге'ндам	леге'нды	леге'ндами	леге'ндах
испытание	испыта'ние	test, trial, ordeal, examination; experience	Versuch, Test, Probe, Bewährungsprobe; Prüfung	n		0	0	0	0	испыта'ние	испыта'ния	испыта'нию	испыта'ние	испыта'нием	испыта'нии	испыта'ния	испыта'ний	испыта'ниям	испыта'ния	испыта'ниями	испыта'ниях
мышка	мы'шка	mouse	Mäuschen, kleine Maus, Maus; Achsel			1	0	0	0	мы'шка	мы'шки	мы'шке	мы'шку	мы'шкой, мы'шкою	мы'шке	мы'шки	мы'шек	мы'шкам	мы'шек	мы'шками	мы'шках
челюсть	че'люсть	jaw, maxilla	Kiefer, Kinnbacke, Gebiß	f		0	0	0	0	че'люсть	че'люсти	че'люсти	че'люсть	че'люстью	че'люсти	че'люсти	челюсте'й	челюстя'м	че'люсти	челюстя'ми	челюстя'х
Италия	Ита'лия	Italy	Italien	f		0	0	0	0	Ита'лия	Ита'лии	Ита'лии	Ита'лию	Ита'лией, Ита'лиею	Ита'лии	Ита'лии	Ита'лий	Ита'лиям	Ита'лии	Ита'лиями	Ита'лиях
уход	ухо'д	leaving, departure, resignation, retiring, withdraw, nursing, looking, care, maintenance	Abgang, Weggang, Kündigung, Rücktritt, Rückzug; Pflege, Wartung	m		0	0	0	0	ухо'д	ухо'да	ухо'ду	ухо'д	ухо'дом	ухо'де	ухо'ды	ухо'дов	ухо'дам	ухо'ды	ухо'дами	ухо'дах
ремонт	ремо'нт	repair, maintenance, remount service	Renovierung, Ausbesserung; Reparatur	m		0	0	0	0	ремо'нт	ремо'нта	ремо'нту	ремо'нт	ремо'нтом	ремо'нте	ремо'нты	ремо'нтов	ремо'нтам	ремо'нты	ремо'нтами	ремо'нтах
осколок	оско'лок	splinter, fragment, sliver, shiver	Splitter, Scherbe	m		0	0	0	0	оско'лок	оско'лка	оско'лку	оско'лок	оско'лком	оско'лке	оско'лки	оско'лков	оско'лкам	оско'лки	оско'лками	оско'лках
соседка	сосе'дка	neighbour	Nachbarin	f		1	0	0	0	сосе'дка	сосе'дки	сосе'дке	сосе'дку	сосе'дкой,  сосе'дкою	сосе'дке	сосе'дки	сосе'док	сосе'дкам	сосе'док	сосе'дками	сосе'дках
телеграмма	телегра'мма	telegram, wire, cable	Telegramm	f		0	0	0	0	телегра'мма	телегра'ммы	телегра'мме	телегра'мму	телегра'ммой, телегра'ммою	телегра'мме	телегра'ммы	телегра'мм	телегра'ммам	телегра'ммы	телегра'ммами	телегра'ммах
уголь	у'голь	coal	Kohle	m		0	0	0	0	у'голь	у'гля	у'глю	у'голь	у'глем	у'гле	у'гли	у'глей	у'глям	у'гли	у'глями	у'глях
согласие	согла'сие	consent, assent, accord, concord, harmony	Zusage, Zustimmung; Einwilligung, Einverständnis, Einvernehmen; Konsens, Einigung, Übereinstimmung	n		0	0	0	0	согла'сие	согла'сия	согла'сию	согла'сие	согла'сием	согла'сии	согла'сия	согла'сий	согла'сиям	согла'сия	согла'сиями	согла'сиях
